Price,scaled_open,scaled_close
2019-01-01,-1.3112397218508252,-1.3073530065870895
2019-01-02,-1.3059592365275372,-1.3022082114738993
2019-01-03,-1.301743609418255,-1.307702148536347
2019-01-04,-1.3068440799114787,-1.306621765076783
2019-01-05,-1.3058171791317725,-1.3072667584912183
2019-01-06,-1.3066133419758703,-1.2953465649582072
2019-01-07,-1.2941432054539275,-1.297993107710502
2019-01-08,-1.2967247889129292,-1.297704700314832
2019-01-09,-1.2965661298560394,-1.29747558141195
2019-01-10,-1.2964188278446012,-1.3158304814403718
2019-01-11,-1.3149847924833358,-1.3153957326917718
2019-01-12,-1.3143172673589263,-1.3167381800915674
2019-01-13,-1.3157651082872683,-1.3223186293131628
2019-01-14,-1.3209968702505572,-1.3144332723468135
2019-01-15,-1.3134289778725998,-1.3183155557863273
2019-01-16,-1.3171744887006704,-1.3170623617739778
2019-01-17,-1.3161255655659414,-1.3158490538908167
2019-01-18,-1.3147800135087595,-1.3169164731009502
2019-01-19,-1.3160994556807173,-1.313273581883217
2019-01-20,-1.3123353182919448,-1.3198432750106694
2019-01-21,-1.3187785235907654,-1.32112992961248
2019-01-22,-1.320081426986678,-1.3196597384590827
2019-01-23,-1.3185114506559217,-1.320661720274419
2019-01-24,-1.3195962057092459,-1.3198509076968037
2019-01-25,-1.3184170098427481,-1.3199075429823852
2019-01-26,-1.3188123934948641,-1.3197687588689386
2019-01-27,-1.3185562625639438,-1.3207213231282504
2019-01-28,-1.3196073866764735,-1.3265679229836418
2019-01-29,-1.32555294460605,-1.327718207764819
2019-01-30,-1.3268394475730936,-1.3257576888303462
2019-01-31,-1.3247009272338788,-1.3272198574899157
2019-02-01,-1.3259817076586404,-1.3256668510632412
2019-02-02,-1.3247412743012195,-1.323961241211652
2019-02-03,-1.3231178330754303,-1.326899460714468
2019-02-04,-1.3256383802757647,-1.3271497424027925
2019-02-05,-1.326269998019483,-1.3267787334993553
2019-02-06,-1.3255415246755184,-1.3294873562705034
2019-02-07,-1.3283317230989775,-1.3302236778552714
2019-02-08,-1.3290299109884045,-1.3164559718956736
2019-02-09,-1.315109946369591,-1.3162281481602907
2019-02-10,-1.315026724254693,-1.3152503469964136
2019-02-11,-1.3138721793395627,-1.3174010669365939
2019-02-12,-1.3165953422677208,-1.3171385000186928
2019-02-13,-1.3160362939063455,-1.3182436928518029
2019-02-14,-1.317191983329932,-1.3190260368933266
2019-02-15,-1.317902987198667,-1.3188236261046933
2019-02-16,-1.3180110740742048,-1.3183612764564816
2019-02-17,-1.3170792052274245,-1.3160925579550453
2019-02-18,-1.3151210770287545,-1.3036346435700534
2019-02-19,-1.3027423376821123,-1.3020184128503276
2019-02-20,-1.3009380892742506,-1.2993027609662486
2019-02-21,-1.298178314652505,-1.3016566587360083
2019-02-22,-1.300643346904198,-1.2990088711139816
2019-02-23,-1.2982473750473826,-1.291952685410183
2019-02-24,-1.2906982098462552,-1.3090574344411556
2019-02-25,-1.3081339032107473,-1.30533523621939
2019-02-26,-1.3044405115369968,-1.30679480196952
2019-02-27,-1.3055335422668517,-1.3069653113994677
2019-02-28,-1.3060084000830965,-1.3067727841220391
2019-03-01,-1.3057253166068798,-1.3065256460441488
2019-03-02,-1.3056448991665506,-1.3062768104166238
2019-03-03,-1.3052869698680944,-1.3071647168965261
2019-03-04,-1.306171725212924,-1.3115744981668889
2019-03-05,-1.3105638833188373,-1.3046307153977736
2019-03-06,-1.3034934622318999,-1.3042409454272654
2019-03-07,-1.303168723678678,-1.3038525083475812
2019-03-08,-1.302661756740575,-1.3043857275494202
2019-03-09,-1.3036237223866527,-1.3011830423880006
2019-03-10,-1.2999340912406876,-1.301786364102521
2019-03-11,-1.3005746386657684,-1.3041747787148474
2019-03-12,-1.303149480844192,-1.303972418223981
2019-03-13,-1.302670950539274,-1.3040980368969293
2019-03-14,-1.3030557946519785,-1.3031888796104922
2019-03-15,-1.301969517779718,-1.3013067874691302
2019-03-16,-1.3000512461447644,-1.2967838990953469
2019-03-17,-1.2957332547022262,-1.2979941010913991
2019-03-18,-1.296647704381841,-1.2976192318343487
2019-03-19,-1.296507407768317,-1.2956268744133987
2019-03-20,-1.2945445631886454,-1.294788058554036
2019-03-21,-1.2938666242949848,-1.2977830390868508
2019-03-22,-1.2967226005121444,-1.2980590355085266
2019-03-23,-1.2970214555664301,-1.2974482822989402
2019-03-24,-1.296380078058293,-1.2981517468674504
2019-03-25,-1.2969493641106955,-1.30119556653197
2019-03-26,-1.2997767401934623,-1.3000619303116518
2019-03-27,-1.2990031782471236,-1.2948091836161533
2019-03-28,-1.2936795914899901,-1.2957341595502951
2019-03-29,-1.2946730499841417,-1.2942267480493574
2019-03-30,-1.2934451056036125,-1.2937999966457019
2019-03-31,-1.2927589287644694,-1.2938646795739948
2019-04-01,-1.292763758338615,-1.2911463116105006
2019-04-02,-1.290107769252934,-1.2539754822218279
2019-04-03,-1.2528601062741966,-1.2491781063593772
2019-04-04,-1.2481541893500328,-1.2517648450667729
2019-04-05,-1.2506527645034082,-1.2458993458254515
2019-04-06,-1.2447806815013267,-1.2447077162798443
2019-04-07,-1.2434412292969066,-1.2375444340557755
2019-04-08,-1.2363814735195406,-1.2328639753525914
2019-04-09,-1.2317408313084373,-1.2372322358163401
2019-04-10,-1.2361615015096317,-1.231072595233917
2019-04-11,-1.2299293636933892,-1.2444671672094239
2019-04-12,-1.2435233069033484,-1.2431769037428348
2019-04-13,-1.2420989346868698,-1.2428139299076673
2019-04-14,-1.2417430302879902,-1.239150089670001
2019-04-15,-1.238056430202882,-1.2443321931518234
2019-04-16,-1.2432463107028775,-1.2356561301401956
2019-04-17,-1.2345114724720103,-1.2348125611418563
2019-04-18,-1.2337209567080982,-1.2324202736014749
2019-04-19,-1.2313165330965283,-1.2321407689105546
2019-04-20,-1.2310071133487992,-1.2303858043751492
2019-04-21,-1.2293731325835988,-1.2315887006205524
2019-04-22,-1.2305777843304886,-1.227219333605931
2019-04-23,-1.226102580187901,-1.218309134489168
2019-04-24,-1.217234576511584,-1.2238456863346612
2019-04-25,-1.2226428694715041,-1.2369460163735324
2019-04-26,-1.2358421459192594,-1.2334008034192088
2019-04-27,-1.2322790018232461,-1.2339702998854578
2019-04-28,-1.2326769386096108,-1.2331025376612175
2019-04-29,-1.232001477388103,-1.2350487343065526
2019-04-30,-1.233914366060207,-1.2297244641864564
2019-05-01,-1.2285985644759798,-1.2270477176251104
2019-05-02,-1.2259450907934997,-1.2217640126540563
2019-05-03,-1.2206323328471456,-1.208217918655624
2019-05-04,-1.2070502623402941,-1.204979396335255
2019-05-05,-1.2038632213308624,-1.2068057082530737
2019-05-06,-1.2058916424719786,-1.2093243689329076
